
2024/01/27 (04:06:43) | ===> btop++ v.1.2.13
2024/01/27 (04:06:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/28 (09:07:43) | ===> btop++ v.1.2.13
2024/01/28 (09:07:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/29 (01:14:15) | ERROR: Stall in Runner thread, restarting!
2024/01/29 (17:39:24) | ERROR: Stall in Runner thread, restarting!

2024/02/01 (10:44:01) | ===> btop++ v.1.2.13
2024/02/01 (10:44:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/02/02 (03:00:27) | ERROR: Stall in Runner thread, restarting!
2024/02/02 (03:00:46) | ERROR: Stall in Runner thread, restarting!
2024/02/07 (14:13:04) | ERROR: Stall in Runner thread, restarting!

2024/02/08 (08:06:02) | ===> btop++ v.1.2.13
2024/02/08 (08:06:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/02/10 (15:45:40) | ERROR: failed getting network interfaces

2024/02/12 (15:00:17) | ===> btop++ v.1.2.13
2024/02/12 (15:00:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/12 (15:01:30) | ===> btop++ v.1.2.13
2024/02/12 (15:01:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/12 (15:01:45) | ===> btop++ v.1.2.13
2024/02/12 (15:01:45) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/12 (15:05:03) | ===> btop++ v.1.2.13
2024/02/12 (15:05:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/12 (16:29:05) | ===> btop++ v.1.2.13
2024/02/12 (16:29:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (15:45:24) | ===> btop++ v.1.2.13
2024/02/16 (15:45:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (15:47:27) | ===> btop++ v.1.2.13
2024/02/16 (15:47:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (15:48:24) | ===> btop++ v.1.2.13
2024/02/16 (15:48:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (15:48:51) | ===> btop++ v.1.2.13
2024/02/16 (15:48:51) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/21 (12:56:28) | ===> btop++ v.1.2.13
2024/02/21 (12:56:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/23 (18:44:00) | ===> btop++ v.1.2.13
2024/02/23 (18:44:00) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/25 (16:56:58) | ===> btop++ v.1.2.13
2024/02/25 (16:56:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/26 (14:40:52) | ===> btop++ v.1.2.13
2024/02/26 (14:40:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/27 (18:37:14) | ===> btop++ v.1.2.13
2024/02/27 (18:37:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/01 (01:32:25) | ===> btop++ v.1.2.13
2024/03/01 (01:32:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/01 (16:51:39) | ===> btop++ v.1.2.13
2024/03/01 (16:51:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/09 (03:24:39) | ===> btop++ v.1.2.13
2024/03/09 (03:24:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/09 (17:50:23) | ===> btop++ v.1.2.13
2024/03/09 (17:50:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/09 (22:19:01) | ===> btop++ v.1.2.13
2024/03/09 (22:19:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/16 (02:57:33) | ===> btop++ v.1.3.2
2024/03/16 (02:57:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/16 (04:59:19) | ===> btop++ v.1.3.2
2024/03/16 (04:59:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/16 (04:59:51) | ===> btop++ v.1.3.2
2024/03/16 (04:59:51) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/23 (00:07:54) | ===> btop++ v.1.3.2
2024/03/23 (00:07:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/26 (10:59:45) | ===> btop++ v.1.3.2
2024/03/26 (10:59:45) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/01 (07:04:29) | ===> btop++ v.1.3.2
2024/04/01 (07:04:29) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/04/02 (07:04:52) | ERROR: Stall in Runner thread, restarting!
2024/04/02 (07:05:07) | ERROR: Stall in Runner thread, restarting!

2024/04/05 (02:50:57) | ===> btop++ v.1.3.2
2024/04/05 (02:50:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/07 (00:52:51) | ===> btop++ v.1.3.2
2024/04/07 (00:52:51) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/20 (22:04:32) | ===> btop++ v.1.3.2
2024/04/20 (22:04:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (02:20:35) | ===> btop++ v.1.3.2
2024/05/03 (02:20:35) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/03 (09:04:54) | ERROR: Stall in Runner thread, restarting!
2024/05/03 (09:06:05) | ERROR: Stall in Runner thread, restarting!
2024/05/03 (10:32:32) | ERROR: Stall in Runner thread, restarting!
2024/05/03 (10:32:42) | ERROR: Stall in Runner thread, restarting!
2024/05/03 (10:33:10) | ERROR: Stall in Runner thread, restarting!

2024/05/04 (14:34:43) | ===> btop++ v.1.3.2
2024/05/04 (14:34:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/06 (11:24:23) | ===> btop++ v.1.3.2
2024/05/06 (11:24:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/07 (16:28:33) | ===> btop++ v.1.3.2
2024/05/07 (16:28:33) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/16 (18:34:53) | ERROR: Stall in Runner thread, restarting!
2024/05/16 (18:36:24) | ERROR: Stall in Runner thread, restarting!

2024/05/17 (11:54:17) | ===> btop++ v.1.3.2
2024/05/17 (11:54:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/17 (11:54:51) | ===> btop++ v.1.3.2
2024/05/17 (11:54:51) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/17 (20:19:50) | ===> btop++ v.1.3.2
2024/05/17 (20:19:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/19 (16:24:36) | ===> btop++ v.1.3.2
2024/05/19 (16:24:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/31 (11:00:21) | ===> btop++ v.1.3.2
2024/05/31 (11:00:21) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/06/05 (14:25:20) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:28:19) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:28:27) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:29:05) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:29:26) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:29:36) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:30:41) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:30:50) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:31:00) | ERROR: Stall in Runner thread, restarting!
2024/06/05 (14:31:17) | ERROR: Stall in Runner thread, restarting!

2024/06/05 (20:14:31) | ===> btop++ v.1.3.2
2024/06/05 (20:14:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/06 (06:26:25) | ===> btop++ v.1.3.2
2024/06/06 (06:26:25) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/06/06 (12:17:55) | ERROR: Stall in Runner thread, restarting!
2024/06/06 (12:18:14) | ERROR: Stall in Runner thread, restarting!

2024/06/08 (02:00:24) | ===> btop++ v.1.3.2
2024/06/08 (02:00:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/13 (09:52:57) | ===> btop++ v.1.3.2
2024/06/13 (09:52:57) | WARNING: Failed to set locale UTF-8 continuing anyway.
